class,sheet,row,section,desc_old,desc_new,price_old,price_new,note
REFUSED (Michael's ruling),Manni TRAILERS,134,FLOOR,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,
REFUSED (Michael's ruling),Manni TRAILERS,140,FLOOR,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,
REFUSED (Michael's ruling),Manni TRAILERS,141,FLOOR,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,
REFUSED (Michael's ruling),Manni DF,35,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,36,?,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni DF,37,?,100*19mm PICTURE FRAME,100*19mm PICTURE FRAME,24.760928961748633,25.102459016393443,
REFUSED (Michael's ruling),Manni DF,38,?,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,
REFUSED (Michael's ruling),Manni DF,44,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,45,?,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni DF,46,?,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,
REFUSED (Michael's ruling),Manni DF,47,?,DOOR BLOCKS,DOOR BLOCKS,525.559,587.119,
REFUSED (Michael's ruling),Manni DF,53,?,CSLB HINGES,CSLB HINGES,146.7300,146.7300,
REFUSED (Michael's ruling),Manni DF,57,?,30258 NEW DOOR CAPPING,30258 NEW DOOR CAPPING,106.14,106.14,
REFUSED (Michael's ruling),Manni DF,58,?,2316 INNER DOOR RUBBER,2316 INNER DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Manni DF,59,?,2317 OUTER DOOR RUBBER,2317 OUTER DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Manni DF,61,?,M 10 NYLOCK NUT,M 10 NYLOCK NUT,0.7374,0.7374,
REFUSED (Michael's ruling),Manni DF,72,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,73,?,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni DF,74,?,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,
REFUSED (Michael's ruling),Manni DF,75,?,DOOR BLOCKS,DOOR BLOCKS,525.559,587.119,
REFUSED (Michael's ruling),Manni DF,93,?,SMALL VERTICAL,SMALL VERTICAL,181.78,181.78,
REFUSED (Michael's ruling),Manni DF,95,?,SILICONE,SILICONE,116.1500,116.1500,
REFUSED (Michael's ruling),Manni DF,96,?,0661-0631 LONG RIVETS,0661-0631 LONG RIVETS,0.5150,0.5150,
REFUSED (Michael's ruling),Manni DF,105,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,106,?,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,
REFUSED (Michael's ruling),Manni DF,107,?,100*19 PICTURE  FRAME,100*19 PICTURE  FRAME,24.760928961748633,25.102459016393443,
REFUSED (Michael's ruling),Manni DF,108,?,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,
REFUSED (Michael's ruling),Manni DF,114,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,116,?,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,
REFUSED (Michael's ruling),Manni DF,151,?,5MM PLATE,5MM PLATE,3046.86,2326.21,
REFUSED (Michael's ruling),Manni DF,160,?,24 MM WISA TRANS PLYWOOD,24 MM WISA TRANS PLYWOOD,3150,4295,
REFUSED (Michael's ruling),Manni DF,173,?,SMALL VERTICAL,SMALL VERTICAL,149.08,149.08,
