sheet,section,row,desc_old,desc_new,price_old,price_new,total_old,total_new,desc_changed,price_changed,total_changed,highlighted
Manni RIGIDS FB,DOOR FITTINGS,88,2317 DOOR RUBBER,2317 DOOR RUBBER,60.18,60.18,747.0745200000001,746.3523600000001,False,False,True,False
Manni RIGIDS FB,SIDES,102,WOVEX SKIN,WOVEX SKIN,272.27,193.11,4994.79315,3536.8096500000006,False,True,True,False
Manni RIGIDS FB,SIDES,103,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,4604.452607857143,4596.922840714287,False,False,True,False
Manni RIGIDS FB,SIDES,104,LVL BOTTOM BEAM,LVL BOTTOM BEAM,130.54545454545453,148.72727272727272,979.090909090909,1115.4545454545455,False,True,True,False
Manni RIGIDS FB,SIDES,105,WOVEX SKIN,WOVEX SKIN,267.84,0,4913.5248,0,False,True,True,False
Manni RIGIDS FB,ROOF,112,WOVEX SKIN,WOVEX SKIN,240.09,193.11,4681.755,3765.6450000000004,False,True,True,False
Manni RIGIDS FB,ROOF,113,PU INJECTION,PU INJECTION,56.61904761904762,56.61904761904762,6157.406357142858,6473.1707857142865,False,False,True,False
Manni RIGIDS FB,ROOF,114,WOVEX SKIN,WOVEX SKIN,267.84,0,5222.879999999999,0,False,True,True,False
Manni RIGIDS FB,FLOOR,121,WOVEX SKIN,WOVEX SKIN,272.27,193.11,5309.264999999999,3765.6450000000004,False,True,True,False
Manni RIGIDS FB,FLOOR,123,PLYWOOD,PLYWOOD,725,735,0,0,False,True,False,False
Manni RIGIDS FB,FLOOR,124,18MM FINN PLY FLOOR,18MM FINN PLY FLOOR,671.1409395973154,454.6979865771812,13087.24832214765,8866.610738255034,False,True,True,False
Manni RIGIDS FB,FLOOR,125,12MM FINN PLY FLOOR,12MM FINN PLY FLOOR,1055,798,0,0,False,True,False,False
Manni RIGIDS FB,FLOOR,126,RICE GRAIN FLOOR,RICE GRAIN FLOOR,3163.1493506493507,3163.1493506493507,0,23723.62012987013,False,False,True,False
Manni RIGIDS FB,FLOOR,127,ALU KICK PLATES,ALU KICK PLATES,496.05,496.05,0,8730.480000000001,False,False,True,False
Manni RIGIDS FB,FLOOR,131,76*50 LVL BEAMS,76*50 LVL BEAMS,130.54545454545453,148.72727272727272,6380.141579731742,7268.740685543964,False,True,True,False
Manni RIGIDS FB,FLOOR,132,2*300 INT LAMINATION,2*300 INT LAMINATION,100.30799999999999,50.153999999999996,5230.05912,0,False,True,True,False
Manni RIGIDS FB,FLOOR,133,ANTI-SKID FINAL COAT,ANTI-SKID FINAL COAT,45.821999999999996,45.821999999999996,1194.57954,0,False,False,True,False
Manni TRAILERS,FRONT,31,Rhinopanel V2,Crystex V2,272.27,272.27,1938.09082836,1938.09082836,True,False,False,False
Manni TRAILERS,FRONT,33,FRIDGE FRAME,FRIDGE FRAME,130.54545454545453,148.72727272727272,1135.7454545454543,1293.9272727272726,False,True,True,False
Manni TRAILERS,FRONT,34,58MM PICTURE FRAME,58MM PICTURE FRAME,130.54545454545453,148.72727272727272,339.4181818181818,386.6909090909091,False,True,True,False
