kind,sheet,row,trailer,section,bom_id,desc_before,desc_after,eff_before,eff_after,override_before,override_after,override_reset,override_provenance,material_before,material_after,mat_disposition,pu_rule,manifest_price_old,drift_note
LINE_UPDATE,UP TO 2.3 CHILLER BODY,121,CHILLER 2.3 METER,ROOF,3754,94MM PICTURE FRAME,94MM PICTURE FRAME,42.4329,44.40719477838495,,,False,,195,319,REPOINT_EXISTING,,45.22052811171828,DB was 42.4329 vs Aug sheet 45.22052811171828 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,107,CHILLER 2.3 METER,SIDES,3745,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,282.53,222.76,,,False,,176,176,IN_PLACE,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,108,CHILLER 2.3 METER,SIDES,3746,58 MM PICTURE FRAME,58 MM PICTURE FRAME,36.3205,37.28646144505161,,,False,,123,123,IN_PLACE,,38.09979477838494,DB was 36.3205 vs Aug sheet 38.09979477838494 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,71,CHILLER 2.3 METER,SIDES,3740,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,118,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,24,CHILLER 2.3 METER,SRD,3696,EXT GRP SKIN 2*300,Rhinotex 1150 BW,256.5,213.11,256.5,,True,,290,125,REPOINT_EXISTING,,272.27,DB was 256.5 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE,UP TO 2.3 CHILLER BODY,41,CHILLER 2.3 METER,SRD,3701,INT GRP SKIN 2*300,Rhinotex 1150 Bioshield,192.5,222.76,,,False,,687,687,IN_PLACE,,267.84,DB was 192.5 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,40,CHILLER LARGE,DRD,3342,EXT GRP SKIN 2*300,Rhinotex 1150 BW,264.37,213.11,,,False,,99,125,REPOINT_EXISTING,,272.27,DB was 264.37 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,82,CHILLER LARGE,DRD,3347,4MM PF PLYWOOD,4MM PF PLYWOOD,71.48,68.79194630872483,,,False,,102,NEW#42,REPOINT_CREATED,,71.47651006711409,
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,84,CHILLER LARGE,DRD,3349,INT GRP SKIN 1*450,Rhinotex 1150 Bioshield,282.53,222.76,282.53,,True,last override batch 2026-07-04 16:44:48.105622,103,128,REPOINT_EXISTING,,267.84,DB was 282.53 vs Aug sheet 267.84 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,110,CHILLER LARGE,FLOOR,3382,EXT GRP SKIN 2*300,Rhinotex 1150 BW,282.53,213.11,,,False,,131,125,REPOINT_EXISTING,,272.27,DB was 282.53 vs Aug sheet 272.27 (pre-existing drift)
LINE_UPDATE, 4.9 & UP CHILLER AND 2.5 WIDE ,143,CHILLER LARGE,FLOOR,3387,18 MM PF PLYWOOD,18 MM PF PLYWOOD,468.121,375.83892617449663,468.121,,True,,134,NEW#56,REPOINT_CREATED,,667.7852348993289,DB was 468.121 vs Aug sheet 667.7852348993289 (pre-existing drift)
